City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,portland,45.5234,-122.6762,11.99,91,100,2.68,US,1681059591
84,guarapari,-20.6667,-40.4975,24.95,84,100,6.95,BR,1681059787
85,mackay,-21.15,149.2,17.6,75,1,1.5,AU,1681059642
86,mindelo,16.8901,-24.9804,25.75,50,40,11.83,CV,1681059787
87,santa maria del oro,25.9333,-105.3667,22.51,25,2,1.05,MX,1681059788
88,bilibino,68.0546,166.4372,-27.6,91,21,2.36,RU,1681059584
89,leh,34.1667,77.5833,-7.71,53,1,1.12,IN,1681059788
90,tuensang,26.2833,94.8333,17.44,73,1,0.93,IN,1681059788
91,morant bay,17.8815,-76.4093,27.06,72,12,3.89,JM,1681059788
92,faanui,-16.4833,-151.75,27.5,75,100,7.26,PF,1681059583
93,severo-kurilsk,50.6789,156.125,0.8,99,100,3.55,RU,1681059572
94,huron,41.1501,-82.5499,14.4,45,0,2.15,US,1681059789
95,goderich,43.7501,-81.7165,9.39,57,1,4.12,CA,1681059608
96,nouadhibou,20.931,-17.0347,20.99,68,0,8.23,MR,1681059789
97,naze,28.3667,129.4833,13.51,54,61,2.9,JP,1681059789
98,luwuk,-0.9516,122.7875,25.63,80,46,2.07,ID,1681059789
99,frontignan,43.4485,3.754,16.66,52,91,4.32,FR,1681059789
100,zabid,14.1951,43.3152,31.83,48,10,7.85,YE,1681059790
101,mataram,-8.5833,116.1167,25.45,88,100,2.19,ID,1681059790
102,ambon,-3.6954,128.1814,25.08,94,40,2.06,ID,1681059650
103,waingapu,-9.6567,120.2641,24.83,87,100,3.95,ID,1681059790
104,belen,36.4891,36.2233,13.08,55,75,9.77,TR,1681059790
105,awbari,26.5921,12.7805,23.76,26,75,4.4,LY,1681059641
106,dire,12.2833,-10.9667,39.2,21,70,2.01,ML,1681059791
107,hasaki,35.7333,140.8333,4.22,55,0,3.27,JP,1681059632
108,kyzyl-suu,42.3414,78.0056,7.38,66,100,0.93,KG,1681059791
109,moose factory,51.2585,-80.6094,8.0,42,0,5.66,CA,1681059791
110,nanortalik,60.1432,-45.2371,-1.51,90,100,7.91,GL,1681059582
111,boddam,57.4667,-1.7833,7.21,85,100,11.66,GB,1681059792
112,omboue,-1.5746,9.2618,26.04,83,91,2.11,GA,1681059792
